,Neighborhood,Price,sq_mtrs,Bedrooms,Bathrooms
0,"General Mathenge, Westlands",155000.0,4.0,4.0,4.0
1,"Kilimani, Dagoretti North",100000.0,300.0,3.0,4.0
2,"Hatheru Rd,, Lavington, Dagoretti North",75000.0,3.0,3.0,5.0
3,"Kilimani, Dagoretti North",135000.0,227.0,3.0,4.0
4,"Imara Daima, Embakasi",50000.0,3.0,3.0,2.0
5,"Waiyaki Way, Westlands",150000.0,2.0,2.0,2.0
6,"Off Denis Pritt, Kilimani, Dagoretti North",100000.0,14.0,2.0,3.0
7,"Westlands Area, Westlands",100000.0,186.0,3.0,3.0
8,"Thika Road, Thika Road",85000.0,4.0,4.0,2.0
9,"Kilimani, Dagoretti North",65000.0,2.0,2.0,2.0
10,"Raphta rd, Rhapta Road, Westlands",95000.0,2.0,2.0,2.0
11,"Thindigua, Thindigua",75000.0,3.0,3.0,3.0
12,"Kileleshwa, Dagoretti North",65000.0,3.0,3.0,2.0
13,"Riverside, Westlands",85000.0,1.0,1.0,1.0
14,"Riverside Drive, Riverside, Westlands",220000.0,3.0,3.0,3.0
15,"Parklands, Westlands",120000.0,3.0,3.0,3.0
16,"Waiyaki Way, Westlands",50000.0,0.0,0.0,1.0
17,"Riara, Lavington, Dagoretti North",85000.0,2.0,2.0,2.0
18,"nyali road, nyali road, Nyali Area, Nyali",12000.0,90.0,1.0,1.0
19,"Sports Road, Waiyaki Way, Westlands",13000.0,0.0,0.0,2.0
20,"MUIRU, Ruaka, Kiambaa",13000.0,2.0,2.0,1.0
21,"Ruaka, Kiambaa",13000.0,0.0,0.0,1.0
22,"fisharies, mtambo bamburi road, Bamburi, Kisauni",13000.0,1.0,1.0,1.0
23,"SHULE, Ruaka, Kiambaa",14000.0,2.0,2.0,1.0
24,"Ruaka, Kiambaa",15000.0,2.0,2.0,1.0
25,"Uthiru 87, Waiyaki Way, Uthiru/Ruthimitu, Dagoretti South",15000.0,45.0,1.0,1.0
26,"Kiambu Road, Kiambu Road",15000.0,0.0,0.0,1.0
27,"Zimmerman, Zimmermann, Roysambu",15000.0,2.0,2.0,1.0
28,"MUCHATHA- NATIONAL OIL, Ruaka, Kiambaa",16000.0,2.0,2.0,2.0
29,"Kasarani Area, Kasarani",16000.0,1.0,1.0,1.0
30,"Along Kikuyu Road, Uthiru/Ruthimitu, Dagoretti South",16000.0,2.0,2.0,1.0
31,"Ngong, Kajiado North",16000.0,1.0,1.0,1.0
32,"Kahigu Road-Ruaka, Ruaka, Kiambaa",16000.0,1.0,1.0,1.0
33,"Kindaruma Road, Kilimani, Dagoretti North",98000.0,3.0,3.0,3.0
